Class_Year,precision,recall,f1-score,support
2010,0.11237841307460623,0.16257142857142856,0.13289346918518086,14000.0
2011,0.09963393283463313,0.08942857142857143,0.09425581570428367,14000.0
2012,0.10524399126001456,0.10321428571428572,0.10421925712225028,14000.0
2013,0.0903214832454499,0.07585714285714286,0.08245981830887492,14000.0
2014,0.09457567804024497,0.07721428571428571,0.08501769563507668,14000.0
2015,0.09524272789181827,0.06992857142857142,0.08064582561061,14000.0
2016,0.0936924716597229,0.06907142857142858,0.07951975658895605,14000.0
2017,0.09925059404130872,0.07757142857142857,0.08708203031031994,14000.0
2018,0.09783441931774627,0.07292857142857143,0.08356523162547062,14000.0
2019,0.11847738827936848,0.1265,0.12235733038551887,14000.0
2020,0.12771018826887787,0.1342142857142857,0.13088148225542437,14000.0
2021,0.12313820574991341,0.15235714285714286,0.1361981993487006,14000.0
2022,0.11872419364490455,0.1417142857142857,0.12920451955325454,14000.0
2023,0.11964444444444444,0.1442142857142857,0.13078542510121458,14000.0
2024,0.12564913072928427,0.159,0.14037079076806658,14000.0
accuracy,0.11038571428571428,0.11038571428571428,0.11038571428571428,0.11038571428571428
macro avg,0.10810115083215587,0.11038571428571428,0.1079637765002135,210000.0
weighted avg,0.10810115083215587,0.11038571428571428,0.10796377650021349,210000.0
